deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
78,1,wordlen_unique_std,10,-0.002618614893,0.03430336668,-0.02314153044,0.01702153577,better
78,1,wordlen_unique_skew,10,-0.08068316573,0.1753745069,-0.1806079758,0.02509538314,better
78,1,wordlen_autocorr,10,-0.02711608286,0.1771831792,-0.1326549003,0.07447014546,better
78,1,wordunique_mean,10,0.1440781811,0.0352845045,0.1258661639,0.1671589605,worse
78,1,wordunique_std,10,0.04283466943,0.05772438801,0.009921980404,0.07724793227,worse
78,1,wordunique_skew,10,0.7240530309,0.3590405332,0.5147218436,0.9349891529,worse
78,1,wordchange_mean,10,0.1251188262,0.05866001278,0.08981612609,0.158438708,worse
78,1,wordchange_std,10,-0.06207486697,0.07639660294,-0.1059450509,-0.01538170159,better
78,1,wordchange_skew,10,0.8580908731,0.3794627982,0.6298003622,1.07790913,worse
78,1,worddist_max,10,0.383849422,0.06071697981,0.3474452927,0.4184734964,worse
78,1,worddist_shape,10,1.123239811,0.06359976781,1.082179885,1.155704688,worse
78,1,wordbias_mean,10,2.164365015,0.04468083785,2.138224596,2.190549273,worse
78,1,wordbias_std,10,1.531954399,0.07733269284,1.48446135,1.575206804,worse
78,1,wordbias_skew,10,1.907905742,0.02912036917,1.892273172,1.926068189,worse
78,1,wordbias_lines_mean,10,2.273302631,0.07199631533,2.231411526,2.315064761,worse
78,1,wordbias_lines_std,10,1.593120305,0.1567182645,1.502004943,1.684340018,worse
78,1,wordbias_lines_skew,10,1.953475174,0.06114202635,1.917430935,1.988724735,worse
78,1,chardist_max,10,-0.07143355741,0.01587678004,-0.08024878467,-0.06160123975,better
78,1,chardist_shape,10,0.005896306097,0.007748665644,0.001249353364,0.01021995189,worse
78,1,ngramdist_max,10,-0.04224933781,0.005608129862,-0.04547782278,-0.03896566703,better
78,1,ngramdist_shape,10,0.1311506589,0.005057614865,0.1282840913,0.1342729495,worse
78,1,charbias_mean,10,0.05719726927,0.02815585895,0.04080209561,0.0737714243,worse
78,1,charbias_std,10,-0.01467873685,0.04299400895,-0.0402793159,0.01064770731,better
78,1,charbias_skew,10,0.2912068843,0.1872685856,0.1802681894,0.3972744249,worse
78,1,charbias_words_mean,10,0.1650681565,0.07239978047,0.1232515419,0.2085836295,worse
78,1,charbias_words_std,10,0.2472959786,0.06863381127,0.2063186989,0.2862098198,worse
78,1,charbias_words_skew,10,0.0162095714,0.04273214849,-0.008760575364,0.04153996996,worse
78,1,unique_words,10,1.463444149,0.0463315969,1.43647753,1.491089153,worse
78,1,repeated_words,10,-0.8231427057,0.08771083736,-0.8767925869,-0.7731173834,better
78,1,tripled_words,10,-0.01827761402,0.02942975452,-0.03655522803,0,better
78,1,unique_chars,10,0.03670809318,0.008305165331,0.03189998022,0.04170113356,worse
